,Institution,INST,Year,Public (1)/Private (2),Control,City,State,Status,Number of articles published by institution (Scopus),Average # of pubs per teaching faculty,Number of references in the articles published by institution (Scopus),pasted values from Y,Average number of references used in articles published by each institution,pasted values from AA,Research and Development Expenditures (HERD) - $ dollars in thousands,Volumes Held,Total Interlibrary Lending,Total Interlibrary Borrowing,Initial Circulation,Annual Gate Count,Total Prof.+Support+Student Staff,Total Materials Expenditures,Professional Salaries & Wages,Support Staff Salaries & Wages,Student Assistant Wages,Total Salaries & Wages,Other Operating Expenditures,Total Library Expenditures,Total Fulltime Students,"Part-time students, undergraduate and graduate",Total Fulltime Graduate Students,Part-time graduate students,Doctor's Degrees Awarded,Doctor's Degree Fields,Total Teaching Faculty,Titles held,Electronic books,One-time resource purchases,Ongoing resource purchases,Collection support,"Fringe Benefits, Dollar amount","Fringe Benefits, Official designated percent",Number of successful full-text article requests,Number of regular searches,Number of federated searches,Herd/ faculty,Library expenditures/ faculty,number of full-text article requests/ facutly
,Institution,instution_code,Average,priv-pub,,,,R1R2,total_publications,av_pubs_per_faculty,,total_references_in_pubs,,av_references_article,HERD,volumes_held,ILLlend,ILLborrow,circulation,gatecount,totalstaff,materials_expend,prof_salaries,support_staff_salaries,,,Other_operating_exp,total_lib_expendatures,total_full_time_students,,total_gradstudents,,degrees_awarded,degree_fields,total_teaching_faculty,titles_held,ebooks,,,,fringeben,fringbenpercent,fulltext-article-requests,regular-searches,federated-searches,av_herd_per_faculty,av_library_expend_per_faculty,av_full_text_articlere_quest_perfaculty
40,Dartmouth College,10,Average,2,PrivateNP,Hanover,NH,R2,1240.666667,1.514265364,59019.33333,59019.33333,47.61164539,47.61164539,250575.6667,3465056.333,50646,30393.33333,184230,1375557,194.6666667,11040027.33,5067760.333,3775417.333,488251.6667,9331429.333,1990569,22362025.67,6253,125.6666667,1968,77.66666667,166.6666667,18.66666667,824.6666667,2959872.333,836059.6667,1652049.333,9144689.333,243288.6667,2771093.667,31.33333333,1591250.333,9411072.667,270750.3333,304,27116,11412
44,Duke University,11,Average,2,PrivateNP,Durham,NC,R1,7189,5.737405495,284537.6667,284537.6667,39.48913474,39.48913474,1073133.333,7999010,34254.66667,30557.33333,321289.6667,3535231,333.6666667,21635164,13360268,4211692.667,467292,18039252.67,4567330,44241746.67,15128.33333,794.3333333,8532,766,934.3333333,59,1252.666667,6060349,1914903,7885067.667,13326187.67,423908.6667,4473165,26.03333333, ,,#VALUE!,857,35318, 
48,Emory University,12,Average,2,PrivateNP,Atlanta,GA,R1,5146.666667,2.42410357,219604.6667,219604.6667,42.67162098,42.67162098,621541.6667,4441925,26883.66667,10877.33333,196205.3333,1687476.333,344.6666667,19394321.33,14140345,3280307.333,1109928.333,18530580.67,6695427.667,44620329.67,13375,1471,5673.333333,1349,764,38.66666667,2129.333333,3643128,890631.3333,6083509.667,13281713.33,29098.33333,4627538.667,26.41666667,1201161, ,#VALUE!,292,20955, 
52,Florida State University,13,Average,1,Public,Tallahassee,FL,R1,2411.333333,1.334205401,115758.3333,115758.3333,48.00515565,48.00515565,269212.6667,4164993.667,14610.33333,14095.66667,100998,1726418,247.3333333,10033949,5700882,2134348,977625,8812855,984343.3333,19831147.33,35306,5975.333333,5917.333333,1989.333333,759.3333333,83,1807.333333,3494227.333,1594362.667,1001279,8889716.667,142953.3333,2553472.333,29,2201399.5,8842165,#VALUE!,149,10973, 
56,George Washington University,14,Average,2,PrivateNP,Washington,DC,R1,2383.666667,1.90155379,109741.6667,109741.6667,46.04769976,46.04769976,239488.3333,3273114.333,20716,48674,104609,2184214.333,282,12337796.33,8460343.333,5959548.333,868198,15288089.67,3734670,31360556,17740.66667,6879.666667,7585.333333,5768,1076.333333,52.66666667,1253.666667,2918350.333,1195928,1939733.667,8422732.667,1975330,3723879.667,25,3570991.333,3059374,329393,191,25015,2440
60,Georgetown University,15,Average,2,PrivateNP,Washington,DC,R1,1801.333333,1.789616041,78235.66667,78235.66667,43.46562102,43.46562102,190746,4690639,40159.66667,27885.33333,195008.6667,1741192,237,12833890.67,7578906,4436605.333,749474.6667,12764986,3166403.667,28765280.33,14526.33333,3754.333333,7374,3370,966,28.33333333,1006.333333,4308110.667,1897396,3106203.667,9457037.333,270649.6667,4482528.333,37,3325330,1839436,51830.66667,190,28584,1828
64,Georgia Institute of Technology,16,Average,1,Public,Atlanta,GA,R1,3735,3.495657384,163781.6667,163781.6667,43.83027812,43.83027812,786792.3333,1941115.667,11265.33333,12135.33333,65874,1275989,109.3333333,8402280.667,3688255.333,2069538,64034.33333,5821827.667,2317034,16541142.33,19565,5429,5986.333333,3903.333333,536.6666667,38.33333333,1068.333333,970064,652856.3333,394140,7994281.333,13859.33333,1691168.5, ,3014304,2255332,#VALUE!,736,15483,2111
68,Harvard University,17,Average,2,PrivateNP,Cambridge,MA,R1,19170.66667,9.937046311,861816.6667,861816.6667,44.96273691,44.96273691,1071388.667,20837233,49837,59388.66667,589860,,737.3333333,47791377.33,36930700,15880712,3412887.667,56224299.67,12518035,116533712,20529.66667,8916.333333,13361.66667,5997.666667,1522.333333,122,1947.666667,14863477.33,1360924.333,16046817.67,20754520.67,10990039,22722595.33,32.4,10259215.33,4455555.667,110734.3333,550,59832,2288
72,Howard University,18,Average,2,PrivateNP,Washington,DC,R2,458.3333333,0.438192735,20430.33333,20430.33333,44.55516877,44.55516877,44709.33333,2794656.667,5039,2198,28129,203315.3333,87.66666667,4606644.333,1932165,1721801,277574.3333,3931540.333,1811518.667,10349703.33,10844,3146.333333,3332,1215,191,35,1046.333333,1504152.667,400314.3333,536298,3865089.667,205256.6667,1196760.667,29.1,192686.3333,1241405.667,,43,9891,1186
76,Iowa State University,19,Average,1,Public,Ames,IA,R1,2970,1.920774888,130190.3333,130190.3333,43.80903125,43.80903125,319364.6667,2890351,22689.66667,10683.66667,83439.66667,2203065,144.6666667,12242870.67,3291915,3333485.667,369290,6994690.667,1357240.667,20594802,31624.33333,3876.333333,3454.666667,2180,331.6666667,81.33333333,1546,2727755.667,438161.3333,1470084.333,10588093,184693.3333,2522826.667, ,457915.6667,1096394.667,1503163.667,207,13321,709
